id,date,reaction_total,paid_reactions,poll_total_voters,format,word_count,link_count,has_question,has_cta,is_forwarded,text,text_snippet
1414,2024-11-11,264,0,0,text_only,6,0,False,False,False,Кидаем огонек если нужна такая табличка,Кидаем огонек если нужна такая табличка
2167,2025-08-21,211,0,0,photo_post,77,0,True,True,False,"Че ж делать, че ж делать

На самом деле, сейчас в блоге мне задают всего 2 варианта вопросов: 
про контент-завод (оно и понятно, достаточно новая тема)
про внутреннюю рекламу 

Я когда-то тоже была из тех, кто вообще не знал ничего о внутренней. Но время и потеря 200к расставили все по своим местам 😂

Короч, предложение к вам
Хочу сделать серию полезных постов про настройку внутренней рекламы, что-то типо бесплатного марафона на канале

Вы как? Ставьте 🔥","Че ж делать, че ж делать На самом деле, сейчас в блоге мне задают всего 2 варианта вопросов: про контент-завод (оно и понятно, достаточно новая тема) про внутреннюю рекламу Я когда-то тоже была из тех, кто вообще не знал"
1461,2024-12-01,196,0,0,text_only,20,0,False,False,False,"Сейчас делаем таблицу, где каждый сможет через АПИ найти эту дыру у себя. Таблица будет индивидуальной. Жду огонек если актуально 🔥","Сейчас делаем таблицу, где каждый сможет через АПИ найти эту дыру у себя. Таблица будет индивидуальной. Жду огонек если актуально 🔥"
1962,2025-05-24,185,0,0,text_only,49,0,True,False,False,"Как находить ТГ каналы для рекламы своих товаров на ВБ?
в тг два типа каналов: паблики и личные каналы
многие почему-то когда я говорю слово ""тг канал"" автоматически думают, что речь о пабликах:)

Как найти эффективный личный тг - канал для рекламы? 
Нужен туториал?
Набираем 100 огонечков, записываю видео:)","Как находить ТГ каналы для рекламы своих товаров на ВБ? в тг два типа каналов: паблики и личные каналы многие почему-то когда я говорю слово ""тг канал"" автоматически думают, что речь о пабликах:) Как найти эффективный ли"
1526,2024-12-21,161,0,0,photo_post,39,0,False,False,False,"Это был по-настоящему наш день 😻

Не передать словами всю атмосферу, я в шоке от нашего организатора, декоратора, фотографа, видеографа, всех-! Кто создавал этот день и атмосферу ❤️

Эта картинка из моей мечты сбылась и воплотилась наяву 

20.12.2024💍","Это был по-настоящему наш день 😻 Не передать словами всю атмосферу, я в шоке от нашего организатора, декоратора, фотографа, видеографа, всех-! Кто создавал этот день и атмосферу ❤️ Эта картинка из моей мечты сбылась и во"
782,2023-02-15,149,0,0,photo_post,18,0,False,False,False,"Баны за Самовыкупы)

Давайте наберём 20🔥 и я расскажу как сейчас продвигаться, чтобы не получать баны и штрафы","Баны за Самовыкупы) Давайте наберём 20🔥 и я расскажу как сейчас продвигаться, чтобы не получать баны и штрафы"
1517,2024-12-15,129,0,0,text_only,24,0,True,False,False,"Нужен часовой урок по внутренней и внешней рекламе? 

Что сейчас применяем у себя и клиентов, чтобы зарабатывать на ВБ?

Собираем 80 огоньков и выкладываю","Нужен часовой урок по внутренней и внешней рекламе? Что сейчас применяем у себя и клиентов, чтобы зарабатывать на ВБ? Собираем 80 огоньков и выкладываю"
2293,2025-10-06,127,1,0,text_only,224,0,True,True,False,"Кажется, вы готовы к этому разговору...

Последнее время я все чаще стала думать, что мы дожили до того времени, когда увидим настоящий отток селлеров с ВБ

Были времена, когда только ввели платный вход на площадку (ну потому что желающих стать продавцами становилось ну ооочень много, особенно после курсов успешного успеха разных блогеров). А сейчас будет упадок. 

Давайте просто посмотрим на последние новости:
1) СПП скачет. У тебя сегодня одна цена, завтра другая. Планировать акции или стратегию нереально Платформа просто меняет твою экономику без предупреждения
2) Логистика дорожает. Цены растут, качество не улучшается. При этом каждый год на секундочку 
3) Проблема с карго (кто возит таким способом, понимает суть потенциальной проблемы сейчас)
4) Реклама внутренняя непостоянна. Ставки конкурентов убрали вот недавно, продажи конкурентов не видно 
5)Налоги. В кодекс вносят изменения, которые напрямую бьют по малому бизнесу
Кстати, раскрыть вам тему налогов? Если нужен пост, ставьте 🔥

Поэтому если ты не умеешь приспосабливаться к каким-либо изменениям, у тебя нет четкой структуры действй, не разбираешься в продвижении (любом вообще) - есть шанс закрыться 

Ну и все чаще вижу сообщения, что люди реально уходят. Кто-то на озон, кто-то в яндекс маркет, кто-то вообще решил сделать свой сайт

Я буду до победного)) Мне даже интересно, что будет дальше. И больше народу уйдет - больше кислороду будет 😁
 
А вы чего думаете? топите до конца за ВБ или переходите?","Кажется, вы готовы к этому разговору... Последнее время я все чаще стала думать, что мы дожили до того времени, когда увидим настоящий отток селлеров с ВБ Были времена, когда только ввели платный вход на площадку (ну пот"
1313,2024-09-14,125,0,0,text_only,157,0,False,False,False,"Про товар
Запуск товара проходит всегда у меня несколько этапов. Можно сказать что я пользуюсь ступенчатой системой

Как это:

Когда выбрала товара, завожу сначала на тест какую-то партию, обычно это 30-50 штук. Раньше я тестировала товары по ФБС, сейчас лучше на ФБО прямо поставлять. Далее:
 1. Пускаю рекламу, пылесошу кластеры и тут смотрю, что выгоднее вообще. Бывают товары, у которых мало кластеров и они дорогие, продаваться в них нет смысла.
 2. Если товар соответствует критериям на уровне теста, а именно: 1) адекватная стоимость рекламных вложений на одну проданную единицу 2) когда я просчитываю сколько товара можно продать, то мне нравится цифра чистой прибыли 3) я нашла рекламную связку на товар, то я завожу товар в бОЛьшем количестве 

Либо китай либо рынки + сразу начинаю искать товар в этой же КАТЕГОРИИ, но другой по модели, цвету, чтобы по этой же связке которая у меня есть, масштабироваться 


Наберем 30 огонечков, разберу на реальном примере и цифрах свой кейс","Про товар Запуск товара проходит всегда у меня несколько этапов. Можно сказать что я пользуюсь ступенчатой системой Как это: Когда выбрала товара, завожу сначала на тест какую-то партию, обычно это 30-50 штук. Раньше я т"
1159,2024-05-14,118,0,0,photo_post,78,0,True,False,False,"Рекомендательные полки - новый вид рекламы на ВБ, с самыми низкими показателями в расходах!
36к просмотров стоили мне 750 рублей, клик 0,86₽, и 16 заказов. ДРР = 9%🔥🔥

Как настроить?
1) Запускаем две кампании сразу, как на скрине: поиск и АРК
2) Убираем везде фразы. Да-да, убираем, деньги все равно будут списываться
3) В АРК ставим 125₽
4) В поиске примерно 300₽

АРК будет откручиваться в полках, если они есть в вашей категории

С Вас 🔥 и репост другу","Рекомендательные полки - новый вид рекламы на ВБ, с самыми низкими показателями в расходах! 36к просмотров стоили мне 750 рублей, клик 0,86₽, и 16 заказов. ДРР = 9%🔥🔥 Как настроить? 1) Запускаем две кампании сразу, как н"
