year_month,posts,reactions_sum,reactions_avg
2021-12,157,11,0.07
2022-01,27,0,0.0
2022-03,22,1,0.05
2022-04,62,2,0.03
2022-05,26,35,1.35
2022-06,104,526,5.06
2022-07,60,413,6.88
2022-08,19,156,8.21
2022-09,4,36,9.0
2022-10,52,347,6.67
2022-11,48,206,4.29
2022-12,9,71,7.89
2023-01,52,440,8.46
2023-02,52,800,15.38
2023-03,19,290,15.26
2023-04,10,56,5.6
2023-05,103,1120,10.87
2023-06,31,214,6.9
2023-07,8,125,15.62
2023-08,20,94,4.7
2023-09,37,167,4.51
2023-10,1,4,4.0
2023-12,11,82,7.45
2024-05,103,1010,9.81
2024-06,63,415,6.59
2024-07,26,335,12.88
2024-08,8,69,8.62
2024-09,27,774,28.67
2024-10,38,423,11.13
2024-11,59,1127,19.1
2024-12,64,1222,19.09
2025-01,81,778,9.6
2025-02,98,835,8.52
2025-03,76,890,11.71
2025-04,77,730,9.48
2025-05,82,894,10.9
2025-06,51,793,15.55
2025-07,91,816,8.97
2025-08,75,1547,20.63
2025-09,68,1047,15.4
2025-10,84,1540,18.33
2025-11,86,916,10.65
2025-12,113,1527,13.51
2026-01,48,660,13.75
2026-02,78,729,9.35
