id,date,poll_question,poll_total_voters,reaction_total,answers_count
2233,2025-09-17,"Ребят, сколько вам лет? 
хочу понять средний возвраст предрпинимателей кто смотрит меня
 анонимный опрос)",1220,0,4
1913,2025-05-09,"9 мая, как продажи?",763,1,2
1544,2025-01-04,Вы,612,1,3
2315,2025-10-16,"У вас есть четкое понимание, что такое контент-завод?",417,0,3
573,2022-10-07,Какой вариант на ваш взгляд больше продает?,385,0,2
2485,2025-12-11,а вы перешли на белый ввоз или собираетесь? собираю статистику ,355,0,4
1920,2025-05-13,Актуальные темы для осбуждения (можно выбрать несколько),341,0,5
2548,2025-12-26,Планируете работать в пн?,296,0,3
927,2023-05-18,Что самое главное в бизнесе,237,1,4
338,2022-06-02,Ваш возраст,216,0,3
339,2022-06-02,Занимаетесь ли Вб?,206,0,3
892,2023-05-13,На,192,4,4
567,2022-10-03,А вы застали БизнесМолодость?),187,0,2
341,2022-06-02,Ваш пол,179,0,2
343,2022-06-02,Какое название канала вам больше нравится?:),179,0,3
382,2022-06-09,"4. На какой склад мне надо завозить товар, еси я хочу расти только по ключам, а не по категории?",164,0,2
726,2023-01-16,Кто вы?,162,0,2
383,2022-06-09,"5. Какое поле в карточке товара отвечает за то, чтобы показываться в бОльшем количестве категорий?",160,0,3
1261,2024-06-26,Рубрики (выбирайте несколько),152,0,6
380,2022-06-09,2. Какой процент ctr считается нормой для внутренней рекламы на ВБ?,150,0,4
